Nama Budaya,Kategori IPA,Konsep IPA,Warisan Budaya,Kategori Budaya,Kab/Kota,Provinsi,Link Budaya Terkait,Link Artikel,Koordinat,Sumber,Lisensi,Gambar
Adat Pernikahan Lampung Pepadun,Keanekaragaman Hayati,"Dalam adat pernikahan Lampung Pepadun, digunakan berbagai tumbuhan. Berdasarkan kajian etnobotani (ilmu mengenai pemanfaatan tumbuhan dalam keperluan sehari-hari oleh komunitas adat suku bangsa) di dapatkan 11 jenis tanaman yaitu kelapa, pisang batu, padi, andong, cocor bebek, sirih, gambir, pinang, tembakau, padi ketan, dan bambu, yang tergolong kedalam 8 famili dan terdapat 6 nilai pendidikan karakter yaitu nilai religius, cinta damai, toleransi, mandiri, kerja keras, dan peduli sosial yang terkandung dalam makna pemanfaatan tanaman tersebut.",Pada tahapan-tahapan pernikahan tersebut didapatkan 11 nilai karakter yang disisipkan masyarakat dalam 5 nilai falsafah orang Lampung dan implementasi tanaman yang dimanfaatkan terdapat 11 jenis tanaman yang tergolong kedalam jenis tanaman tingkat tinggi dan berdasarkan makna pemanfaatannya terkandung 6 nilai pendidikan karakter di dalamnya.,"Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan",Way Kanan,Lampung,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000418,http://repository.radenintan.ac.id/19773/,"-4.57554,104.648",bandarlampung.pikiran-rakyat.com/,,../images/Lampung_Pepadun.jpeg
Bakaroh,"Interaksi Makhluk hidup dan lingkungan, Bumi dan tata surya","Bakaroh hanya dilakukan di parit dekat pemukiman warga memungkinkan warga mudah memperbaiki ekosistem sungai setelahnya. Selain itu, ikan ditangkap dengan sasauk dan tanggok serta dilarang dengan racun/bahan kimia. Pelaksanaan barakoh menggunakan perhitungan bulan hijriah untuk menentukan pasang surut air laut","Bakaroh (mengerohkan air), masyarakat suku banjar memiliki tradisi budaya bakaroh sebagai upaya untuk memupuk jiwa gotongroyong dan semangat kebersamaan  dengan kegiatan menangkap ikan secara bersama-sama menggunkan alat tradisional berupa sasauk dan tanggok.",Lain - Lain,Indragiri Hilir,Riau,,https://jom.uin-suska.ac.id/index.php/JNSL/article/view/461,"-0.287854,103.183",medialokal.co,,../images/Bakaroh.jpg
Barapaen,Suhu dan Kalor,Konduksi pada saat membakar batu pada tradisi barapaen yang masih dingin dengan kayu api dan pada saat memasak dengan batu panas merupakan konsep IPA suhu dan kalor,"Barapen merupakan Pesta Bakar Batu, yaitu tradisi memasak dan mengolah makanan secara bersama-sama untuk hidangan pesta sebagai ungkapan syukur atas kelahiran, pernikahan, penyambutan tamu atau acara penting lainnya yang biasa dilakukan masyarakatdi Jayapura dan di Papua pada umumnya","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan",Jayapura,Papua,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001988,http://jipp.unram.ac.id/index.php/jipp/article/view/1322,"-3.0866,140.033",Wikimedia Commons,"Paul, CC BY 2.0",../images/Barapaen.jpg
Batik Bakaran,Suhu dan Kalor,"Dalam proses pembuatan batik terdapat proses pencantingan, pewarnaan, pelorodan terkait dengan suhu dan kalor ","Penduduk Desa Barakan yang mendapat ilmu membatik dari Nyi Danowati (Nyi Ageng Sabirah) dimana beliau adalah seorang pembatik yang berasal dari Majapahit, Beliau adalah seorang punggawa Majapahit yang diserahi tugas untuk mengelola Gedung pusaka dan pengadaan seragam batik untuk pakaian dan uborampe tentara pada masa itu.",Kemahiran dan Kerajinan Tradisional,Pati,Jawa Tengah,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001281,https://proceeding.unnes.ac.id/snipa/article/view/3737,"-6.70743,111.034",www.batikprabuseno.com,,../images/Batik_Bakaran.jpg
Batik Pekalongan,Pencemaran Lingkungan,"Dalam pembuatan batik, dari proses awal hingga proses penyempurnaan diindikasikan menggunakan bahan kimia yang mengandung unsur logam berat, sehingga bahan buangannya juga masih mengandung unsur logam berat tersebut. Apabila bahan buangan tersebut tidak diolah dengan baik, maka bahan buangan tersebut dapat mencemari lingkungan","Pada umumnya, batik Pekalongan menampilkan bentuk motif bergambar hewan atau tumbuhan. Motif-motif tersebut diambil dari berbagai campuran kebudayaan lokal dan etnis cina. Pasalnya, dulu Pekalongan adalah tempat transit para pedagang dari berbagai negara. Sehingga, akulturasi budaya itulah yang membuat batik Pekalongan sangat khas dengan alam, khususnya motif jlamprang, motif buketan, motif terang bulan, motif semen, motif pisan bali dan motif lung-lungan.",Kemahiran dan Kerajinan Tradisional,Pekalongan,Jawa Tengah,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001989,https://journal.unnes.ac.id/sju/usej/article/view/13174,"	-7.04079,109.657",Wikimedia Commons,CC0,../images/Batik_Pekalongan.jpg
Bau Nyale,Keanekaragaman Hayati,"Ekosistem, klasifikasi makhluk hidup, sistem reproduksi hewan, difusi dan osmosis",Cacing Nyale termasuk ke dalam filum Annelida,"Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan",Lombok Tengah,NTB,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000640,https://jppipa.unram.ac.id/index.php/jcar/article/view/7597,"-8.68115,116.283",Wikimedia Commons,"Ken Miichi, CC BY 2.5",../images/Bau_Nyale.jpg
Bibit Kuwalu,Sistem perkembangbiakan tumbuhan,Masa kadaluarsa benih padi paling lama 1 tahun setelah disimpan karena selama proses penyimpanan maka benih akan mengalami deteriorasi yang menyebabkan penurunan mutu benih,Bibit padi yang akan ditanam tidak boleh menggunakan bibit kuwalu (bibit yang sudah lebih dari 1 tahun setelah masa panen) karena akan menyebabkan padi yang ditanam tidak berbuah.,Lain - Lain,Lampung Utara,Lampung,,https://core.ac.uk/download/pdf/289778121.pdf,"-4.83168,104.814",lamongan.jatimnetwork.com,,../images/
Bir Pletok,Keanekaragaman Hayati,"bir pletok terbuat dari lada, jahe, dan kulit kayu secang.",“bir pletok” terinspirasi dari suara letupan botol ketika orang Belanda membuka tutup botol wine,Kemahiran dan Kerajinan Tradisional,Jakarta Pusat,DKI Jakarta,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA000047,http://repository.uki.ac.id/id/eprint/5510,"	-6.18367,106.836",Wikimedia Commons,"Ezagren, CC BY SA 4.0",../images/Bir_Pletok.jpg
Bolu Kemojo,Suhu dan kalor,Suhu dan kalor pada saat pembuatan bolu kemojo,"bolu kemojo dulu hanya dapat dinikmati pada acara-acara tertentu, seperti upacara adat atau pernikahan.",Lain - Lain,Pekanbaru,Riau,,https://ejournal.upi.edu/index.php/sosietas/article/view/60009,"0.557415,101.462",Wikimedia Commons,"MarketingDB, CC BY 4.0",../images/Bolu_Kemojo.jpg
Dadih,Bioteknologi,Dadih difermentasi di dalam wadah dari bambu yang ditutup dengan daun pisang (Musa sp.) atau daun waru (Hibiscus tiliaceus) yang telah dilayukan di atas api. Proses fermentasi dilakukan dalam suhu ruangan dan berlangsung hingga terjadi penggumpalan sekitar 2 sampai 3 hari.,"Pada zaman dahulu, masyarakat Minangkabau memiliki kebiasaan memakan dadih dengan irisan bawang dan nasi. Kebiasaan tersebut sangat mirip dengan kebiasaan orang Persia yang memakan susu fermentasi dengan bawang merah dan mentimun.",Kemahiran dan Kerajinan Tradisional,Solok,Sumatera Barat,https://budaya-data.kemdikbud.go.id/wbtb/objek/AA001219,http://repository.uin-suska.ac.id/81902/,"-0.933584,100.83",Wikimedia Commons,"Meutia Chaerani, CC BY SA 3.0",../images/Dadih.jpg
